state,year,mean_temp_c,mean_humidity_pct
Johor,2017,27.2,84.69
Johor,2018,27.14,84.1
Johor,2019,27.61,81.96
Johor,2020,27.28,84.69
Johor,2021,27.02,85.09
Johor,2022,27.14,85.16
Kedah,2017,26.38,84.49
Kedah,2018,26.4,83.73
Kedah,2019,26.6,82.86
Kedah,2020,26.58,83.17
Kedah,2021,26.35,83.32
Kedah,2022,26.34,84.51
Kelantan,2017,27.57,81.92
Kelantan,2018,27.49,81.54
Kelantan,2019,27.77,80.09
Kelantan,2020,27.63,81.66
Kelantan,2021,27.43,81.36
Kelantan,2022,27.48,82.22
Malaysia,2017,24.76,88.72
Malaysia,2018,24.71,88.06
Malaysia,2019,24.97,86.94
Malaysia,2020,24.82,88.46
Malaysia,2021,24.57,88.52
Malaysia,2022,24.63,88.89
Melaka,2017,27.62,82.21
Melaka,2018,27.61,81.53
Melaka,2019,27.99,80.32
Melaka,2020,27.78,81.57
Melaka,2021,27.54,81.9
Melaka,2022,27.62,81.61
Negeri Sembilan,2017,27.29,82.63
Negeri Sembilan,2018,27.28,81.99
Negeri Sembilan,2019,27.7,80.54
Negeri Sembilan,2020,27.47,81.92
Negeri Sembilan,2021,27.22,82.05
Negeri Sembilan,2022,27.28,81.79
Pahang,2017,26.0,87.53
Pahang,2018,26.02,85.89
Pahang,2019,26.32,84.7
Pahang,2020,26.13,86.35
Pahang,2021,25.87,86.94
Pahang,2022,25.96,87.26
Perak,2017,23.61,89.07
Perak,2018,23.62,88.29
Perak,2019,23.87,87.08
Perak,2020,23.78,88.31
Perak,2021,23.52,88.13
Perak,2022,23.53,88.76
Perlis,2017,27.6,81.93
Perlis,2018,27.66,80.93
Perlis,2019,27.94,79.94
Perlis,2020,27.83,80.37
Perlis,2021,27.52,81.43
Perlis,2022,27.56,81.92
Pulau Pinang,2017,26.26,84.68
Pulau Pinang,2018,26.28,83.91
Pulau Pinang,2019,26.51,82.91
Pulau Pinang,2020,26.44,83.76
Pulau Pinang,2021,26.21,83.62
Pulau Pinang,2022,26.23,84.64
Sabah,2017,24.69,85.77
Sabah,2018,24.76,85.48
Sabah,2019,24.92,84.4
Sabah,2020,24.96,85.21
Sabah,2021,24.69,86.2
Sabah,2022,24.77,85.85
Sarawak,2017,26.93,85.4
Sarawak,2018,26.78,86.2
Sarawak,2019,27.02,85.89
Sarawak,2020,26.9,86.71
Sarawak,2021,26.8,86.03
Sarawak,2022,26.87,85.74
Selangor,2017,27.89,81.11
Selangor,2018,27.96,80.15
Selangor,2019,28.34,79.09
Selangor,2020,28.11,80.23
Selangor,2021,27.92,80.06
Selangor,2022,27.94,80.35
Terengganu,2017,27.56,82.26
Terengganu,2018,27.51,81.6
Terengganu,2019,27.78,80.4
Terengganu,2020,27.59,82.07
Terengganu,2021,27.44,81.67
Terengganu,2022,27.55,81.94
W.P. Kuala Lumpur,2017,25.56,87.73
W.P. Kuala Lumpur,2018,25.54,86.91
W.P. Kuala Lumpur,2019,25.96,84.98
W.P. Kuala Lumpur,2020,25.78,86.4
W.P. Kuala Lumpur,2021,25.45,86.96
W.P. Kuala Lumpur,2022,25.51,87.16
W.P. Labuan,2017,28.27,79.64
W.P. Labuan,2018,28.29,80.17
W.P. Labuan,2019,28.35,79.82
W.P. Labuan,2020,28.19,81.15
W.P. Labuan,2021,28.21,80.2
W.P. Labuan,2022,28.2,80.02
